day	litterC	litterN	microbeC	humusC	moisture
0	1.0	0.9569554280190845	1.0	1.0	1.0
1	0.9951543390735772	0.9539936586721305	0.9999660097119722	0.9998795940446931	0.8759359188911936
2	0.9912929390981681	0.9519632436315906	0.9987954470683399	0.9997744867025943	0.7518718377823872
3	0.9876226427256535	0.950103900330726	0.9974212269932489	0.9996717683631787	0.8332526896155709
4	0.9841413289386391	0.9484139018250874	0.9958454732787828	0.999571504435197	0.7091886085067645
5	0.9816208534954315	0.9476373992439243	0.9931539927378995	0.9994871462977033	0.5851245273979581
6	0.9800495134698417	0.9477645093211616	0.9893603769475091	0.9994189383068761	0.4610604462891517
7	0.9792964652629108	0.9486701131332405	0.9846212894030693	0.9993649365304919	0.3688688463056316
8	0.9791263057907207	0.9501274081157393	0.9792187010568397	0.9993212360886791	0.3054122904728191
9	0.9793523624802918	0.9519561645118307	0.9733767192845822	0.9992846764416952	0.26173440139309095
10	0.9797247859708499	0.9539141794265771	0.9673939004855324	0.999250938788468	0.2649706470971921
11	0.9801956069740614	0.9559550686894255	0.9613278580622865	0.9992191980279691	0.23389794556311397
12	0.9808526285643542	0.9581647197348611	0.9550748533047785	0.9991909921051396	0.21251024190978746
13	0.981631976667823	0.9604811002495386	0.948711661456983	0.9991652185266191	0.19844224967836915
14	0.9824923297424514	0.9628640592853656	0.9422879098248182	0.999141162349499	0.18810567201509298
15	0.9834077578564167	0.9652884111514024	0.9358347005377335	0.9991183740317723	0.18099088479231845
16	0.9843581957149043	0.9677346525024234	0.9293760011779861	0.9990965050479037	0.1760936935870321
17	0.9851731699560259	0.9700353551152453	0.9231136392152677	0.9990726088237375	0.21730141908036327
18	0.9858941433345365	0.9722313141873229	0.9169974255012205	0.9990473933839212	0.20108665874633566
19	0.9867044129462015	0.9745033030390926	0.9108097870254204	0.9990240069178276	0.18992584968525175
20	0.9875732009366132	0.9768211409737682	0.9045875394804298	0.9990019217989029	0.1822437343574927
21	0.9884794682444945	0.9791641987969638	0.89835577067246	0.9989807766243669	0.17695604458643777
22	0.9892269278490851	0.9813381956836331	0.8923463377110319	0.9989572120832002	0.22660867416068478
23	0.9898647336355474	0.9833918476802165	0.8864999391438554	0.998932059594968	0.20749295120421932
24	0.9906062809242043	0.9855371586238818	0.8805638880063605	0.9989089499424392	0.19433537566275608
25	0.9914163403424606	0.9877392915316361	0.8745802639679799	0.9988872859193137	0.18527886262772295
26	0.9922708243749289	0.9899744239944732	0.8685777642333987	0.9988666583831992	0.17904515885036246
27	0.9931532721027909	0.9922262842239387	0.8625759231931709	0.9988467871152084	0.17475442767893254
28	0.9940428229451814	0.9944741652133843	0.8565993326578424	0.9988273174251373	0.17472211822159534
29	0.9941811883389404	0.9959595632566637	0.8515404329056846	0.9987954453284603	0.40205672979688156
30	0.9938188320698031	0.9969328473998743	0.8470995763257522	0.998755337606875	0.3282558985901729
31	0.9930590935184578	0.9974973537338574	0.8431523812474303	0.998708666391552	0.5257021904637429
32	0.9920310740593186	0.9977825192004444	0.8395449449148406	0.9986575381424194	0.41336251437385674
33	0.9916177804264792	0.9986763327149945	0.8352357108247191	0.9986168615622211	0.336037802260039
34	0.9916232351505876	0.999981999011893	0.8304581732739086	0.9985834286382179	0.2828142991167618
35	0.9903617098987715	1.0	0.8272009844790363	0.9985286933334263	0.7362640969779738
