hour,val
1.0,0.02969086422814269
11.0,0.32480641709621944
21.0,0.6166890322984677
31.0,0.9053759916968385
41.0,1.190903314896081
51.0,1.4733062149764242
61.0,1.75261929682883
71.0,2.0288766561196123
81.0,2.524981300723747
91.0,3.046148383181665
101.0,3.567795834029423
111.0,4.089931771580871
121.0,4.612565194937724
131.0,5.135706011332173
141.0,5.6593650721050786
151.0,6.183554010958578
161.0,6.708284599633014
171.0,7.233569945444802
181.0,7.759424421254108
191.0,8.285863712666448
201.0,8.81290492332639
211.0,9.34056669957307
221.0,9.787835374776277
231.0,10.154575782145647
241.0,10.52178256109803
251.0,10.889467536950596
261.0,11.25764339143513
271.0,11.626323731169546
281.0,11.99552316610887
291.0,12.329242357482467
301.0,12.579358792109247
311.0,12.829853689357416
321.0,13.080735687692886
331.0,13.332013928253536
341.0,13.583698090364326
351.0,13.835798431209886
361.0,14.083041702638976
371.0,14.281719788047267
381.0,14.478226591839167
391.0,14.67258592884224
401.0,14.864821356889841
411.0,15.054956179973843
421.0,15.243013451394974
431.0,15.429015976915245
441.0,15.612968874968693
451.0,15.794909205158122
461.0,15.974860890355107
471.0,16.15284571427863
481.0,16.328885223903207
491.0,16.50300073216266
501.0,16.675213320632785
511.0,16.845529616613447
521.0,17.0139705828025
531.0,17.180565811707417
541.0,17.345337166763237
551.0,17.508305309231034
561.0,17.669490343108716
571.0,17.828912064835883
581.0,17.98660160965838
591.0,18.142578465405645
601.0,18.29684997199971
611.0,18.44943478144347
621.0,18.60035134205086
631.0,18.749617900667037
641.0,18.89725250486515
651.0,19.04327301052582
661.0,19.187697194464775
671.0,19.330542558542266
681.0,19.47182636283957
691.0,19.611565679607878
701.0,19.749777395289403
711.0,19.8864782125181
721.0,20.021684648984497
731.0,20.15541269382257
741.0,20.287678300648953
751.0,20.41849749524642
761.0,20.547886124486002
771.0,20.675859858728344
781.0,20.802434194142688
791.0,20.927624454951886
801.0,21.051446011542314
811.0,21.173914145257342
821.0,21.295043647045564
831.0,21.41484914473112
841.0,21.533345107509
851.0,21.65054584762613
861.0,21.76646552204652
871.0,21.881118184238975
881.0,21.994517851622735
891.0,22.10667822237717
901.0,22.21761283247935
911.0,22.32733507193596
921.0,22.435858186286065
931.0,22.543195278092842
941.0,22.64935915192869
951.0,22.75414805801358
961.0,22.852626298610637
971.0,22.943244439056258
981.0,23.026601067502103
991.0,23.103254064602577
1001.0,23.173723036568358
1011.0,23.238461481255396
1021.0,23.29749671787618
1031.0,23.351240779199173
1041.0,23.400225419951134
1051.0,23.444927481333707
1061.0,23.485774693848324
1071.0,23.523150854182855
1081.0,23.557431129874214
1091.0,23.591723313650096
1101.0,23.62750394860313
1111.0,23.664241223079525
1121.0,23.701488894875336
1131.0,23.738875109180082
1141.0,23.776092538916263
1151.0,23.812889699318664
1161.0,23.84906384192402
1171.0,23.884455869486285
1181.0,23.918941960129455
1191.0,23.95241197300246
1201.0,23.98476428681831
1211.0,24.015929801334323
1221.0,24.04586769066567
1231.0,24.07455947566472
1241.0,24.102001836395058
1251.0,24.128204423351626
1261.0,24.153188615083305
1271.0,24.176984758251947
1281.0,24.199629878052015
1291.0,24.22116580950292
1301.0,24.243177936017187
1311.0,24.272596687815057
1321.0,24.30871968473785
1331.0,24.35003428556718
1341.0,24.395270656197237
1351.0,24.44336614432806
1361.0,24.49343474984918
1371.0,24.544768615783514
1381.0,24.597294134181627
1391.0,24.65092836047526
1401.0,24.705450080487893
1411.0,24.76062176084371
1421.0,24.816195544449513
1431.0,24.871918917013726
1441.0,24.927534758513353
1451.0,24.98245667973006
1461.0,25.036189264572474
1471.0,25.088494845636927
1481.0,25.139192964873526
1491.0,25.188151473237568
1501.0,25.235278832798283
1511.0,25.280517468530242
1521.0,25.324007165886144
1531.0,25.365915425260674
1541.0,25.40614875723891
1551.0,25.444643179712042
1561.0,25.481361736626155
1571.0,25.51629027540002
1581.0,25.54943372507243
1591.0,25.58070055027157
1601.0,25.60986925083949
1611.0,25.6370915492244
1621.0,25.66252648730349
1631.0,25.686318887806912
1641.0,25.708600768686765
1651.0,25.729492603423726
1661.0,25.74910464422476
1671.0,25.767539776978847
1681.0,25.784892419050795
1691.0,25.801248720665036
1701.0,25.816687481109724
1711.0,25.831280839222117
1721.0,25.845094892202592
1731.0,25.858190277341954
1741.0,25.870624007408733
1751.0,25.882450002793533
1761.0,25.89371759977494
1771.0,25.904471890270628
1781.0,25.914754115126097
1791.0,25.924602017854713
1801.0,25.934050163330923
1811.0,25.94313113433644
1821.0,25.95187725511116
1831.0,25.96031826288112
1841.0,25.968481093214688
1851.0,25.976390157415292
1861.0,25.98406759135836
1871.0,25.99153347882955
1881.0,25.998857399541052
1891.0,26.00610718166232
1901.0,26.013263065929475
1911.0,26.02030806437345
1921.0,26.02722825698334
1931.0,26.034012414270478
1941.0,26.040651649906778
1951.0,26.04712729112128
1961.0,26.053404849332857
1971.0,26.05948817076641
1981.0,26.0653839864689
1991.0,26.07109940071078
2001.0,26.076641749949797
2011.0,26.082018484691755
2021.0,26.08724016531292
2031.0,26.092327053217513
2041.0,26.097276420916376
2051.0,26.102083725663896
2061.0,26.106746000271087
2071.0,26.111261563758575
2081.0,26.11562976628744
2091.0,26.119847950629463
2101.0,26.12387918498242
2111.0,26.12773533012336
2121.0,26.131443481747688
2131.0,26.135027103387504
2141.0,26.138506474465483
2151.0,26.141899083583553
2161.0,26.145219985425616
2171.0,26.14848657347365
2181.0,26.151713050786775
2191.0,26.1549084273652
2201.0,26.15808036997282
2211.0,26.161235368412658
2221.0,26.164378882362637
2231.0,26.167515471074445
2241.0,26.17065004209923
2251.0,26.17378807219499
2261.0,26.176932852106123
2271.0,26.180087005995215
2281.0,26.183252599462264
2291.0,26.186431214242347
2301.0,26.189624014259955
2311.0,26.192832155609675
2321.0,26.19605794763603
2331.0,26.199302959689046
2341.0,26.20256825946119
2351.0,26.205854536474863
2361.0,26.20916215724427
2371.0,26.21249121395166
2381.0,26.21584166771702
2391.0,26.21921455393074
2401.0,26.222611117390205
2411.0,26.226032136321937
2421.0,26.229478024209843
2431.0,26.232948885548787
2441.0,26.236444564906943
2451.0,26.239964708475497
2461.0,26.24350976452091
2471.0,26.247081126775072
2481.0,26.250679768791823
2491.0,26.254306237765796
2501.0,26.257960720596618
2511.0,26.2616431018964
2521.0,26.265353015074012
2531.0,26.26909056610633
2541.0,26.272857409673247
2551.0,26.27665493118834
2561.0,26.280483982696918
2571.0,26.28434496598743
2581.0,26.288237905425525
2591.0,26.292162511668817
,
1.0,0.04009272629074777
11.0,0.43649463864216753
21.0,0.8248132107013174
31.0,1.2052503294304011
41.0,1.5780020495878657
51.0,1.9432587793524996
61.0,2.3012054598007903
71.0,2.65202173843431
81.0,2.9987699986341214
91.0,3.3457262847963287
101.0,3.692927608729267
111.0,4.040375414947697
121.0,4.388071498608667
131.0,4.736017984651909
141.0,5.084217310693855
151.0,5.4326720776807695
161.0,5.781384463654535
171.0,6.130356962204069
181.0,6.479592424117899
191.0,6.829094025359338
201.0,7.1788652595126345
211.0,7.528909933012858
221.0,7.8792320965005604
231.0,8.22983538469518
241.0,8.58072366877003
251.0,8.931901249048595
261.0,9.28337279991161
271.0,9.635143373760172
281.0,9.9872184079617
291.0,10.339603713522708
301.0,10.692304818491582
311.0,11.045327432599986
321.0,11.398677871965498
331.0,11.752362960583417
341.0,12.106390052381231
351.0,12.460767058024688
361.0,12.815496485140791
371.0,13.169872881002934
381.0,13.52339123671535
391.0,13.876027373968228
401.0,14.227755925291374
411.0,14.578550214452566
421.0,14.928382124168012
431.0,15.277221948966417
441.0,15.546419613765316
451.0,15.807139543876456
461.0,16.068193130734638
471.0,16.329589163374894
481.0,16.591337076437842
491.0,16.853447004670034
501.0,17.115929845626965
511.0,17.319232260795285
521.0,17.497291490534717
531.0,17.675622296545384
541.0,17.85423106560346
551.0,18.03312456979151
561.0,18.21230999500058
571.0,18.39179497292542
581.0,18.560295381882668
591.0,18.71629137738915
601.0,18.87058291741641
611.0,19.02318871597645
621.0,19.174127286543644
631.0,19.323416944655538
641.0,19.471075810527093
651.0,19.617116469112876
661.0,19.76154899154239
671.0,19.90440305455947
681.0,20.045695958060218
691.0,20.185444814430404
701.0,20.323666550727165
711.0,20.460377910847072
721.0,20.595594079473543
731.0,20.72932015214652
741.0,20.86158450522955
751.0,20.992403141790998
761.0,21.121791890508764
771.0,21.249766407614707
781.0,21.37634217881989
791.0,21.50153452122113
801.0,21.625349106127615
811.0,21.7478090911771
821.0,21.86893032656068
831.0,21.988727460435936
841.0,22.105816965901393
851.0,22.21820540586637
861.0,22.326072418379308
871.0,22.427562115213934
881.0,22.53639221817123
891.0,22.64852957629443
901.0,22.759439700320446
911.0,22.869136312979645
921.0,22.9776328581474
931.0,23.084942568816945
941.0,23.19109899429282
951.0,23.296115525772098
961.0,23.39998456577764
971.0,23.50271870334594
981.0,23.604330388963692
991.0,23.70483193625904
1001.0,23.804235523660797
1011.0,23.90255306260063
1021.0,23.998671203361464
1031.0,24.088572446973554
1041.0,24.172303179166303
1051.0,24.25028113962792
1061.0,24.322888341357846
1071.0,24.39047784669095
1081.0,24.45336563090313
1091.0,24.51128679534961
1101.0,24.564314350011863
1111.0,24.612921554581092
1121.0,24.657534296780153
1131.0,24.698531542243924
1141.0,24.73625065918104
1151.0,24.770996354688325
1161.0,24.803273926782925
1171.0,24.833601554707002
1181.0,24.862087247425098
1191.0,24.88882320004957
1201.0,24.913899207103984
1211.0,24.93740289416566
1221.0,24.95941975643379
1231.0,24.980011149695894
1241.0,24.999203382723483
1251.0,25.017087915266
1261.0,25.033755623539488
1271.0,25.04929249049601
1281.0,25.063779675512684
1291.0,25.077293607450045
1301.0,25.09123554102644
1311.0,25.112853443947113
1321.0,25.141909906342985
1331.0,25.177009942896856
1341.0,25.21694253567914
1351.0,25.26065902856845
1361.0,25.307253971806983
1371.0,25.355971905151737
1381.0,25.406459331282615
1391.0,25.458090716071453
1401.0,25.510216624029493
1411.0,25.562298239763393
1421.0,25.61389267428554
1431.0,25.664640004676205
1441.0,25.71424931412131
1451.0,25.76222588335087
1461.0,25.808357391541403
1471.0,25.8526845909634
1481.0,25.89525004701278
1491.0,25.936097879325676
1501.0,25.97527351534718
1511.0,26.0128234564264
1521.0,26.048801021059734
1531.0,26.08326328886201
1541.0,26.116257558715503
1551.0,26.147831454647385
1561.0,26.178032860771815
1571.0,26.2069097309688
1581.0,26.234509915361187
