period,penalty,leaching,profit
3,0.0,0.4427063867264419,0.24854871315519347
3,0.0223630118765297,0.4441725083362188,0.2489755589328477
3,0.0670890356295891,0.4329403602452292,0.24863750409386445
3,0.1341780712591782,0.39533363525535115,0.24711994370550674
3,0.2012671068887674,0.3721812393669732,0.24496212404204265
3,0.2683561425183565,0.3424030731753057,0.24014379647147358
3,0.3354451781479456,0.35183134997030413,0.23643796580662813
3,0.4025342137775348,0.35154053179605016,0.22725013262934232
3,0.4696232494071239,0.28813308983548197,0.21237788573878708
3,0.5367122850367131,0.3654296477940197,0.19988135221837627
6,0.0,0.3802830096577955,0.24794328105861607
6,0.0223630118765297,0.40064845466877685,0.24807651952645438
6,0.0670890356295891,0.36666871646724053,0.2469735813260759
6,0.1341780712591782,0.3304869970218141,0.24338056870866254
6,0.2012671068887674,0.33596507000836084,0.2388278441373776
6,0.2683561425183565,0.3251363022395467,0.2360622418523353
6,0.3354451781479456,0.34092440912894,0.2306708027555406
6,0.4025342137775348,0.33759936237785104,0.21517255663827695
6,0.4696232494071239,0.38917737927944396,0.19747983346814316
6,0.5367122850367131,0.3302522247499112,0.17498611993646027
36,0.0,0.39366994280530576,0.24696109339107897
36,0.0223630118765297,0.3843203156018412,0.24637392769437227
36,0.0670890356295891,0.3632313458678652,0.24505908441875218
36,0.1341780712591782,0.3112727620312063,0.2419639178729228
36,0.2012671068887674,0.2735453195952387,0.23553775479073186
36,0.2683561425183565,0.22303653682695526,0.21973304690648615
36,0.3354451781479456,0.15019164562275977,0.19846340853852854
36,0.4025342137775348,0.1084179306793094,0.15617463057378866
36,0.4696232494071239,0.0071478830601067545,0.068149216652363
36,0.5367122850367131,0.006439856274549806,0.04963884089843522
