plot_y,total_leaching_gN_per_m2
0.2474339834245727,0.0
0.2623066056551569,0.0072770531497854
0.2618342825823573,0.0133900869758659
0.2623052661485871,0.0034677183952674
0.2475372065701221,0.002375584693395
0.2378791181664967,0.0348035620075026
0.24774287562262373,0.0042071797593836
0.2462456614746224,0.0
0.2612883411421731,0.6740097628287068
0.2612376741412702,0.0004309942153749
0.26229767697865586,0.7241134484184594
0.24676767498620225,5.107926078007746e-06
0.2455806462503282,0.0
0.26150056747168854,0.161689125972199
0.2563770633959544,0.4587920125282966
0.247037384073522,0.0
0.24677934083986844,0.0203918430415165
0.2618396244680825,0.0170023319887208
0.2576765373215865,0.5043456338576078
0.23596320957367622,0.0
0.2587631893447999,0.210606293785559
0.24637650950386064,0.0
0.2476900100519653,0.0272917188810131
0.247103707967105,0.0462169532978857
0.2612290113622446,1.0264894642133164
0.2613242508454265,0.0333708510872859
0.22786669765541662,3.158001297582235
0.2614520206528336,2.566165889053694e-05
0.26131467042240425,0.0129160104701515
0.26162478447136145,2.7244927652851967e-05
0.24796098913756032,0.0003023038038095
0.2461740716263449,0.0
0.26209757575537523,0.0001581168561983
0.25936602053026664,0.2812754817518404
0.2465055027652273,0.0
0.2610060937237158,0.320991201217095
0.2587350447744332,0.0077076909766969
0.24682063250410294,7.588778623545698e-05
0.26007583759760305,0.0051103187851697
0.26112383544894313,0.0002561048438498
0.2494769187143351,4.418031035986279e-05
0.24729942516350906,0.0
0.2626150648887765,0.0002959699273943
0.2636860108175353,0.5689636798405348
0.26197833902620027,0.0085343674851706
0.24692803016206435,0.0013982842777703
0.2620795625545477,0.0040527003867582
0.24916421758767993,0.0
0.26225894857377874,0.0045866412513478
0.24723459494467462,0.0021972485532727
0.24627352607625436,4.21672095187259e-06
0.24936858402434173,0.0030471649798729
0.2631687855827191,0.0646932139267158
0.2578395698666286,5.337948986236644
0.2647073720915426,5.900309854788574
0.26184282696234873,0.2938578673214783
0.26189398241276624,1.6921353031391507e-05
