period,profit,leaching,wetstart
3,0.2460633217744032,0.0064183758953358,1
3,0.2503068364917866,0.0402418351477909,1
3,0.2500679072932888,0.0036689223073892,1
3,0.2497098765477525,0.0011937897683399,1
3,0.250361246059896,0.0046175291109706,1
3,0.2485681727032517,0.0040920374893705,1
3,0.2474431537813281,0.0,1
3,0.23107784090621622,0.0,0
3,0.2459504631368004,0.0072770531497854,0
3,0.246097934305309,0.0006356909848717,1
3,0.2490487555204874,0.0377255967503188,1
3,0.2499280215207197,0.300733732738204,1
3,0.240532208912292,0.0,1
3,0.24095388926096742,0.0,1
3,0.24547814006400082,0.0133900869758659,0
3,0.23958534647436142,0.0,1
3,0.2210294985567117,3.3984905009068615e-08,1
3,0.2459491236302306,0.0034677183952674,0
3,0.2408308055954809,4.128929851278263e-05,1
3,0.2454351452538449,0.0006983601326314,1
3,0.24552146162618468,0.7559041232886998,1
3,0.241207002206123,4.000897416628228e-06,1
3,0.24471112949123722,0.0,1
3,0.2424539344394816,0.0006364285366309,1
3,0.2445190033821931,0.0002906170135411,1
3,0.24467112912663969,0.0314104659770719,1
3,0.24556991092377758,0.0001516250737096,1
3,0.24689058847397322,0.0725906496611574,1
3,0.2406250258347644,1.8922138724176476,1
3,0.2513938619076067,0.0081773658333137,1
3,0.2442491891869014,3.498365258734832e-05,1
3,0.2488068988805861,0.013111358643569,1
3,0.24699336763819768,0.0002875835772244,1
3,0.2505641670850036,0.0120844831579486,1
3,0.248944750154837,1.759871912473807,1
3,0.240563549751349,0.0012492108850478,1
3,0.23118106405176558,0.002375584693395,0
3,0.2504951494667996,0.0016679901423751,1
3,0.2215229756481402,0.0348035620075026,0
3,0.2507668249784344,0.1120785219792796,1
3,0.2313867331042672,0.0042071797593836,0
3,0.2407437723761953,0.0,1
3,0.24895056826817602,0.0085833452294221,1
3,0.2402742779622259,0.0190567395799477,1
3,0.2483095202129022,5.508318082216452,1
3,0.22988951895626591,0.0,0
3,0.2462760238190505,0.0,1
3,0.2449321986238166,0.6740097628287068,0
3,0.2448815316229137,0.0004309942153749,0
3,0.2227464344106939,0.0046530989168637,1
3,0.2498557964454746,0.2076701215885714,1
3,0.2453063957895615,0.5124356673463808,1
3,0.2430766603368026,0.0018419523614988,1
3,0.2489999685222494,0.0193338288305788,1
3,0.2489238267174922,1.7879848202806177,1
3,0.24594153446029932,0.7241134484184594,0
3,0.2501400402978893,0.00106693731281,1
3,0.2485494358308729,1.5791073907274114,1
3,0.2304115324678457,5.107926078007746e-06,0
3,0.2458602650927662,0.0,1
3,0.2399780915573174,0.0,1
3,0.2468265649935387,0.0,1
3,0.24796656339357478,1.257680355664225,1
3,0.2292245037319717,0.0,0
3,0.2471457623361254,0.0023099663364588,1
3,0.24462544902600072,0.0003132063274384,1
3,0.2502475127714837,0.0740968070047599,1
3,0.24719931078155108,0.0722328926565362,1
3,0.2464853692736724,0.0,1
3,0.2131947868714352,3.052586519855091e-05,1
3,0.24514442495333202,0.161689125972199,0
3,0.24634695747396929,0.0012892071939979,1
3,0.24002092087759788,0.4587920125282966,0
3,0.2414682883867734,3.29610575756603e-06,1
3,0.2444571430692034,0.0,1
3,0.24582020174519428,2.3891050972239367,1
3,0.250367456464913,2.7908269583432888,1
3,0.249973129697483,0.0668757685350917,1
3,0.2449869923165915,0.0,1
3,0.23068124155516548,0.0,0
3,0.2464777248120964,0.0,1
3,0.2445495754696246,0.0009490499379431,1
3,0.2460566689014718,0.0694249647149892,1
3,0.2500889319526975,0.0213064868797375,1
3,0.24483153616382242,1.3634889193422894,1
3,0.2450163059268645,0.0008863627825027,1
