control_period,penalty,parameters_idx,deficit_cost,total_leaching_gN_per_m2,violated
3.0,0.20126710688876742,52.0,0.002738151923185269,0.001841934981317016,0.0
3.0,0.20126710688876742,53.0,0.0,0.019332256022634945,1.0
3.0,0.20126710688876742,54.0,0.0011189539289391125,1.787833659031841,1.0
3.0,0.20126710688876742,55.0,3.1123430566914524e-07,0.7240679386509759,1.0
3.0,0.20126710688876742,56.0,0.0005375098823721484,0.00106686070621608,1.0
3.0,0.20126710688876742,57.0,0.0018889421780894635,1.5784471499932877,1.0
3.0,0.20126710688876742,58.0,0.010070716211895585,5.106467302101063e-06,0.0
3.0,0.20126710688876742,59.0,0.0023991465726592343,0.0,0.0
3.0,0.20126710688876742,60.0,0.004365483067284447,0.0,0.0
3.0,0.20126710688876742,61.0,0.0020222583250001794,0.0,0.0
3.0,0.20126710688876742,62.0,0.001216156581804258,1.2573865511161149,1.0
3.0,0.20126710688876742,63.0,0.010984792839425349,0.0,0.0
3.0,0.20126710688876742,64.0,0.0023208662932716465,0.002309932660544523,0.0
3.0,0.20126710688876742,65.0,0.0038298708211467235,0.00031320591405980955,0.0
3.0,0.20126710688876742,66.0,0.0004553692309105898,0.07409646639914387,1.0
3.0,0.20126710688876742,67.0,0.0005945379650991623,0.07221992268454926,1.0
3.0,0.20126710688876742,68.0,0.002192779876535325,0.0,0.0
3.0,0.20126710688876742,69.0,0.0067015113904217724,3.0525807604402756e-05,0.0
3.0,0.20126710688876742,70.0,0.00039346153036017657,0.16166892815725956,1.0
3.0,0.20126710688876742,71.0,0.00021182364861165745,0.0012890860041479988,1.0
3.0,0.20126710688876742,72.0,0.003600205773784518,0.4587616181926496,1.0
3.0,0.20126710688876742,73.0,0.0064337464629611605,3.2954110096167936e-06,0.0
3.0,0.20126710688876742,74.0,0.004611821093240897,0.0,0.0
3.0,0.20126710688876742,75.0,0.0020248768698563862,2.388783603513914,1.0
3.0,0.20126710688876742,76.0,0.0006884671708873145,2.7905615052529673,1.0
3.0,0.20126710688876742,77.0,0.0008948044876536914,0.0668427591703054,1.0
3.0,0.20126710688876742,78.0,0.004160214748300371,0.0,0.0
3.0,0.20126710688876742,79.0,0.010090858135047235,0.0,0.0
3.0,0.20126710688876742,80.0,0.0022073357434497375,0.0,0.0
3.0,0.20126710688876742,81.0,0.003959824970239915,0.0009490494035936417,0.0
3.0,0.20126710688876742,82.0,2.711668179761758e-06,0.06941864313118477,1.0
3.0,0.20126710688876742,83.0,0.0008603331837721463,0.02129821323037317,1.0
3.0,0.20126710688876742,84.0,0.0009953268550090058,1.36340971725053,1.0
3.0,0.20126710688876742,85.0,0.0006581471198496073,0.0008863586658296039,1.0
3.0,0.20126710688876742,86.0,0.0003523139346200122,0.001009106182988421,1.0
3.0,0.20126710688876742,87.0,0.00408114270041881,0.0032744685873363545,0.0
3.0,0.20126710688876742,88.0,0.0021682538307912697,0.0017586593703880966,0.0
3.0,0.20126710688876742,89.0,0.000454131144182726,5.088327142618601,1.0
3.0,0.20126710688876742,90.0,0.00029531759856994,0.003867181921584771,1.0
3.0,0.20126710688876742,91.0,0.00030795279002272525,0.01291073754056979,1.0
3.0,0.20126710688876742,92.0,0.0006536987728768868,3.0365234109275847,1.0
3.0,0.20126710688876742,93.0,0.0043899044211290214,0.0014234728943456007,0.0
3.0,0.20126710688876742,94.0,0.001204826482197875,0.0018364543891629627,1.0
3.0,0.20126710688876742,95.0,0.002246250342904505,0.02021214263575853,0.0
3.0,0.20126710688876742,96.0,0.004011768350004674,0.023861969435466184,0.0
3.0,0.20126710688876742,97.0,0.000656768744825337,0.0005298915819679388,1.0
3.0,0.20126710688876742,98.0,0.0015438065450595416,0.004887247051137745,1.0
3.0,0.20126710688876742,99.0,0.010216157166781481,0.020391763450318522,0.0
3.0,0.20126710688876742,100.0,0.00025551371885487874,0.017001099054905624,1.0
3.0,0.20126710688876742,101.0,0.0,0.03137567884263164,1.0
3.0,0.20126710688876742,102.0,0.0064464609458488205,0.000920343321300567,0.0
3.0,0.20126710688876742,103.0,0.0007889384934985008,0.05129267104978826,1.0
3.0,0.20126710688876742,104.0,0.0003309625795122499,0.0021894979040800178,1.0
3.0,0.20126710688876742,105.0,0.004166196982589739,0.0,0.0
3.0,0.20126710688876742,106.0,0.002743493356651035,0.5041142071963974,1.0
3.0,0.20126710688876742,107.0,0.0027983835151883163,0.0,0.0
3.0,0.20126710688876742,108.0,0.0021367702106329964,0.21057964267962595,1.0
3.0,0.20126710688876742,109.0,0.007366859182638422,0.0,0.0
3.0,0.20126710688876742,110.0,0.0003877791121634743,0.00016632291281076998,1.0
3.0,0.20126710688876742,111.0,0.0008442216016365888,3.039011602268439,1.0
3.0,0.20126710688876742,112.0,0.0005430294491670037,0.0014537338750583435,1.0
3.0,0.20126710688876742,113.0,0.0010376662028847242,0.25689774733380916,1.0
3.0,0.20126710688876742,114.0,0.0008118472965735504,0.00843798955737474,1.0
3.0,0.20126710688876742,115.0,0.0019395141665032964,0.0008743475694427863,1.0
3.0,0.20126710688876742,116.0,0.0043921291926838895,0.0,0.0
3.0,0.20126710688876742,117.0,0.010543980839022006,0.0,0.0
3.0,0.20126710688876742,118.0,0.00953646769100772,0.027289088777713567,0.0
3.0,0.20126710688876742,119.0,0.00022199744912805306,0.003368542262538433,1.0
3.0,0.20126710688876742,120.0,0.00025517008109114507,0.10300259865194027,1.0
3.0,0.20126710688876742,121.0,0.009922375756689313,0.04621074957875418,0.0
3.0,0.20126710688876742,122.0,0.0009377183381515385,1.8876307692669931,1.0
3.0,0.20126710688876742,123.0,0.000968355445527001,0.01062791146105158,1.0
3.0,0.20126710688876742,124.0,0.00015310570451995573,0.006807426420127195,1.0
3.0,0.20126710688876742,125.0,0.00021562603472523426,0.00048404325570298545,1.0
3.0,0.20126710688876742,126.0,0.0010445775469707045,0.624283607457694,1.0
3.0,0.20126710688876742,127.0,0.004074562319391015,0.020244588559131596,0.0
3.0,0.20126710688876742,128.0,0.0006702886321643086,1.026271954022695,1.0
3.0,0.20126710688876742,129.0,0.0017288427458107157,0.019169848845520258,1.0
3.0,0.20126710688876742,130.0,0.0009997400287759574,0.002903353576797191,1.0
3.0,0.20126710688876742,131.0,0.0005873282877526942,0.006984451454554483,1.0
3.0,0.20126710688876742,132.0,0.007116261973058705,0.0,0.0
3.0,0.20126710688876742,133.0,0.0017529992998366049,3.474510303403236,1.0
3.0,0.20126710688876742,134.0,0.0019504232900190415,5.234269366550884e-05,1.0
3.0,0.20126710688876742,135.0,0.00014338259321445543,0.011189005864033652,1.0
3.0,0.20126710688876742,136.0,0.0005597035744549669,0.1749125569733366,1.0
3.0,0.20126710688876742,137.0,0.0008272188647314097,0.004795581243384928,1.0
3.0,0.20126710688876742,138.0,0.004298029538850845,0.020464300265161914,0.0
3.0,0.20126710688876742,139.0,0.002740628355949185,0.0,0.0
3.0,0.20126710688876742,140.0,0.0015258728500905576,0.7613342361969941,1.0
3.0,0.20126710688876742,141.0,0.0069658508761578815,0.0026198972675775278,0.0
3.0,0.20126710688876742,142.0,0.0043606629551915955,0.0009537470534902708,0.0
3.0,0.20126710688876742,143.0,0.00014654314935202368,0.018584023633844902,1.0
3.0,0.20126710688876742,144.0,0.00048462300571823014,0.008004055807397705,1.0
3.0,0.20126710688876742,145.0,0.004142262863357024,0.000497867295011555,0.0
3.0,0.20126710688876742,146.0,0.0065513899719327464,0.0036325527007685485,0.0
3.0,0.20126710688876742,147.0,0.0006244009957615586,0.0028720856208888177,1.0
3.0,0.20126710688876742,148.0,0.0006672159553907756,1.7519264658793678,1.0
3.0,0.20126710688876742,149.0,3.996712831271859e-05,0.21035698477612655,1.0
3.0,0.20126710688876742,150.0,0.0019092516394168103,0.0015072549586250118,0.0
3.0,0.20126710688876742,151.0,0.00019560527938692091,0.023471905322910627,1.0
3.0,0.20126710688876742,152.0,0.0022398885152765083,0.0005588864873512152,0.0
3.0,0.20126710688876742,153.0,0.002223125373019806,0.0,0.0
3.0,0.20126710688876742,154.0,0.003908452318604853,0.0008357747222953503,0.0
3.0,0.20126710688876742,155.0,0.006710490460159544,0.004123940611847845,0.0
3.0,0.20126710688876742,156.0,0.0005449924080088637,0.03336720870772924,1.0
3.0,0.20126710688876742,157.0,0.004398578914537838,0.0,0.0
3.0,0.20126710688876742,158.0,0.0006473103789514217,0.012843838063645568,1.0
3.0,0.20126710688876742,159.0,0.007706249739745582,3.1578023151918573,1.0
3.0,0.20126710688876742,160.0,0.0013014382261593695,1.1470056546903262,1.0
3.0,0.20126710688876742,161.0,0.00443526585233302,0.0,0.0
3.0,0.20126710688876742,162.0,0.00040336054971464025,0.016930947836600107,1.0
3.0,0.20126710688876742,163.0,0.0005956769155625427,0.007330635453111989,1.0
3.0,0.20126710688876742,164.0,0.00431868467804299,0.02010885279524219,0.0
3.0,0.20126710688876742,165.0,0.004189766946361195,4.5591308795260844e-05,0.0
3.0,0.20126710688876742,166.0,0.0010231234693416282,0.0003097292418134259,1.0
3.0,0.20126710688876742,167.0,1.4643768993680393e-05,0.006045241027346262,1.0
3.0,0.20126710688876742,168.0,0.004229464643802093,0.0,0.0
3.0,0.20126710688876742,169.0,0.004089885902241152,3.718918104588138e-05,0.0
3.0,0.20126710688876742,170.0,0.0006573834064635577,0.12401577923800414,1.0
3.0,0.20126710688876742,171.0,0.001446482128329318,0.16698444249150482,1.0
3.0,0.20126710688876742,172.0,0.000924041338820729,0.14276692627269497,1.0
3.0,0.20126710688876742,173.0,0.000898928772381403,0.03695358817385822,1.0
3.0,0.20126710688876742,174.0,0.004097258258499117,0.026185797265187976,0.0
3.0,0.20126710688876742,175.0,0.0009080958862536085,0.0019143561719314843,1.0
3.0,0.20126710688876742,176.0,0.0010251690962349352,0.6351633192224979,1.0
3.0,0.20126710688876742,177.0,0.003965526943139421,0.013640833563439122,0.0
3.0,0.20126710688876742,178.0,0.003644454384331608,0.1778544339227169,1.0
3.0,0.20126710688876742,179.0,0.0038823895637293978,0.137475046766202,0.0
3.0,0.20126710688876742,180.0,0.0001856642605342193,11.783632347154683,1.0
3.0,0.20126710688876742,181.0,0.001512549246871303,0.06289686350799387,1.0
3.0,0.20126710688876742,182.0,0.00017693550905998918,0.10450642662015837,1.0
3.0,0.20126710688876742,183.0,0.004191704361242398,0.01158060655882943,0.0
3.0,0.20126710688876742,184.0,0.0005208332735089457,2.5648121500104932e-05,1.0
3.0,0.20126710688876742,185.0,0.0010647895646332737,1.195487051810772,1.0
3.0,0.20126710688876742,186.0,0.004050764894798057,0.018943294639569425,0.0
3.0,0.20126710688876742,187.0,0.004225998724752425,1.9481018523652075e-06,0.0
3.0,0.20126710688876742,188.0,0.0010718899005627796,1.4338660235666483,1.0
3.0,0.20126710688876742,189.0,0.004181350376251105,1.3222183183502436e-05,0.0
3.0,0.20126710688876742,190.0,0.00014150933696439487,0.004580216243142269,1.0
3.0,0.20126710688876742,191.0,0.0009923393806164009,0.061572854956416345,1.0
3.0,0.20126710688876742,192.0,0.0004430887196260905,0.008636621041083136,1.0
3.0,0.20126710688876742,193.0,0.0007055846406506617,0.013635604056901665,1.0
3.0,0.20126710688876742,194.0,0.0010103069745264223,0.6215781766209303,1.0
