hour,val
1.0,0.0
11.0,0.0
21.0,0.0
31.0,0.0
41.0,0.0
51.0,0.0
61.0,0.0
71.0,0.0
81.0,18.68198557425902
91.0,18.49380026503281
101.0,18.300402695184268
111.0,18.101305172700396
121.0,17.895950678064146
131.0,17.68370014698183
141.0,17.46381670686243
151.0,0.22227150458561423
161.0,0.22047752159662534
171.0,0.21869389221435237
181.0,0.2169203847357193
191.0,0.21515676586649837
201.0,0.2134028006650242
211.0,0.21165825246950223
221.0,0.09724464223241804
231.0,0.09716668529662777
241.0,0.09705894285728556
251.0,0.09692285118922633
261.0,0.0967598258838014
271.0,0.09657125860413077
281.0,0.09635851417168166
291.0,0.0441627902364737
301.0,0.04011192122136289
311.0,0.03664032498416373
321.0,0.033631771426794146
331.0,0.03099932135508697
341.0,0.028676567692592914
351.0,0.026611855005874905
361.0,21.6036799004231
371.0,21.368918858049565
381.0,21.127532743521805
391.0,20.875931326473978
401.0,20.608728967573786
411.0,20.317884477883243
421.0,19.991127360805297
431.0,19.608603663589037
441.0,0.0
451.0,0.0
461.0,0.0
471.0,0.0
481.0,0.0
491.0,0.0
501.0,0.0
511.0,0.004678313406599666
521.0,0.004638313482589062
531.0,0.004590441430376627
541.0,0.004535091056560299
551.0,0.004472633062564771
561.0,0.004403415396451005
571.0,0.0043277636383401985
581.0,0.001834026587831703
591.0,0.0017961951757645672
601.0,0.0017559727037708356
611.0,0.001713461957317365
621.0,0.0016687571403110608
631.0,0.001621944067476552
641.0,0.001573100354392073
651.0,0.0007065947181711782
661.0,0.0007139443673396676
671.0,0.0007190236499745442
681.0,0.0007219839520658347
691.0,0.0007229660629748884
701.0,0.0007221006349950374
711.0,0.0007195086322337225
721.0,8.72612866208078e-05
731.0,8.625206049491907e-05
741.0,8.506754780035003e-05
751.0,8.37106836337012e-05
761.0,8.218125177202718e-05
771.0,8.04962535197706e-05
781.0,7.867064874983278e-05
791.0,7.671741140431788e-05
801.0,0.0
811.0,0.0
821.0,0.0
831.0,0.0
841.0,0.0
851.0,0.0
861.0,0.0
871.0,0.0
