Time_years,Net_flux_gN_per_m3_per_day
0.0,0.07358083366515875
0.02739801090440834,0.019646833033330275
0.05479602180881668,0.05876550408219713
0.08219403271322502,0.02574386301932989
0.10959204361763336,0.011279701947186284
0.13699005452204172,0.046832551039364824
0.16438806542645004,0.04325624926809364
0.1917860763308584,0.058684020031586376
0.21918408723526672,0.07057498913313075
0.24658209813967508,0.09818359446558961
0.27398010904408343,0.11738030201645797
0.30137811994849173,0.16021859570602884
0.3287761308529001,0.1068877012336161
0.35617414175730844,0.14340682033640906
0.3835721526617168,0.10487239149177893
0.4109701635661251,0.21616187861195596
0.43836817447053344,0.18028799565339917
0.4657661853749418,0.056135399095128685
0.49316419627935015,0.17855968048113252
0.5205622071837585,0.19455962541857272
0.5479602180881669,0.20552975232605902
0.5753582289925752,0.17251589909101145
0.6027562398969835,0.1723828319910719
0.6301542508013919,0.04876105009420689
0.6575522617058002,0.20076076370732038
0.6849502726102086,0.08934317214185335
0.7123482835146169,0.047690308701517664
0.7397462944190252,0.08195818527237272
0.7671443053234336,0.18640120852317332
0.7945423162278419,0.16859563076638362
0.8219403271322502,0.17269489316844305
0.8493383380366586,0.2568794220443768
0.8767363489410669,0.06660320989860058
0.9041343598454753,0.2699754112602305
0.9315323707498836,0.2178012840773712
0.9589303816542919,0.11174433829164668
0.9863283925587003,0.08651947186250024
1.0137264034631086,0.13646792370167954
1.041124414367517,0.11308604260743008
1.0685224252719252,0.08900845830261005
1.0959204361763337,0.03332755822418139
1.123318447080742,0.10229697126341156
1.1507164579851503,0.19796692054602316
1.1781144688895586,0.24858103173941717
1.205512479793967,0.2550027663179413
1.2329104906983754,0.05433565798964232
1.2603085016027837,0.06295147518402136
1.287706512507192,0.13927387836794064
1.3151045234116003,0.07427440618796013
1.3425025343160086,0.07189517767965206
1.3699005452204172,0.051366348993401076
1.3972985561248255,0.06234479263737717
1.4246965670292338,0.05235054696736865
1.452094577933642,0.1250981511578827
1.4794925888380503,0.05439428942747876
1.5068905997424589,0.04442993918780022
1.5342886106468672,0.238485602033091
1.5616866215512755,0.04848453454342805
1.5890846324556838,0.2342565040691741
1.616482643360092,0.2866056497602267
1.6438806542645004,0.21374087059654154
1.6712786651689089,0.26583709603593064
