hour,val
1.0,0.0
11.0,0.0
21.0,0.0
31.0,0.0
41.0,0.0
51.0,0.0
61.0,0.0
71.0,0.0
81.0,0.07432526358198824
91.0,0.07414378717919937
101.0,0.07396890875151763
111.0,0.07380070642077251
121.0,0.0736392631622903
131.0,0.0734846670217758
141.0,0.07333701134522536
151.0,0.034164001272704025
161.0,0.03410175434074663
171.0,0.034042940317756884
181.0,0.033987611787692405
191.0,0.033935824526626766
201.0,0.03388763765489132
211.0,0.03384311379933054
221.0,0.01514341086071152
231.0,0.01512686002170295
241.0,0.01511207070689694
251.0,0.015099076832526802
261.0,0.015087914402519402
271.0,0.015078621614920766
281.0,0.015071238976243063
291.0,0.0060228971057440656
301.0,0.006021534913891741
311.0,0.006021004989454923
321.0,0.006021327041574014
331.0,0.00602252204094678
341.0,0.006024612289322457
351.0,0.0060276214947995775
361.0,0.0016008257206509705
371.0,0.0015694757567340102
381.0,0.0015388251193854674
391.0,0.0015088304206375062
401.0,0.001479475359783493
411.0,0.0014507441082666761
421.0,0.0014226212947891913
431.0,0.0013950919908020973
441.0,0.0032443689922019266
451.0,0.0032741564193415965
461.0,0.0033023801496348906
471.0,0.0033288853502679225
481.0,0.003353379835137338
491.0,0.0033760210314220714
501.0,0.003396958354881729
511.0,0.00042794035282245135
521.0,0.0004301881214418665
531.0,0.00043225346441489755
541.0,0.00043413666242726355
551.0,0.0004358600079073719
561.0,0.000437442962806851
571.0,0.00043890254322201416
581.0,0.0
591.0,0.0
601.0,0.0
611.0,0.0
621.0,0.0
631.0,0.0
641.0,0.0
651.0,0.44854292402812734
661.0,0.44692626667953367
671.0,0.44532925325415923
681.0,0.4437519566026778
691.0,0.4421944861000142
701.0,0.4406569865297778
711.0,0.43913963696512043
721.0,0.18457956111593601
731.0,0.18065204890427627
741.0,0.1768144784517638
751.0,0.17306484416999535
761.0,0.1694011436609341
771.0,0.16582138492977266
781.0,0.16232359241812502
791.0,0.15890581201979007
801.0,0.35752653872896656
811.0,0.35602382437945557
821.0,0.35454114687426097
831.0,0.3530785145534023
