hour,val
1.0,0.0
11.0,0.0
21.0,0.0
31.0,0.0
41.0,0.0
51.0,0.0
61.0,0.0
71.0,0.0
81.0,0.0
91.0,0.0
101.0,0.0
111.0,0.0
121.0,0.0
131.0,0.0
141.0,0.0
151.0,0.0
161.0,0.0
171.0,0.0
181.0,0.0
191.0,0.0
201.0,0.0
211.0,0.0
221.0,0.0
231.0,0.0
241.0,0.0
251.0,0.0
261.0,0.0
271.0,0.0
281.0,0.0
291.0,0.0
301.0,0.0
311.0,0.0
321.0,0.0
331.0,0.0
341.0,0.0
351.0,0.0
361.0,0.0
371.0,0.0
381.0,0.0
391.0,0.0
401.0,0.0
411.0,0.0
421.0,0.0
431.0,0.0
441.0,0.0
451.0,0.0
461.0,0.0
471.0,0.0
481.0,0.0
491.0,0.0
501.0,0.0
511.0,0.0
521.0,0.0
531.0,0.0
541.0,0.0
551.0,0.0
561.0,0.0
571.0,0.0
581.0,0.009324468094072792
591.0,0.009170928448194398
601.0,0.009016994666533527
611.0,0.008862622236040733
621.0,0.008707765139903524
631.0,0.008552375766925982
641.0,0.008396404815135114
651.0,0.0036838303647225047
661.0,0.003613528115345325
671.0,0.0035429217891286267
681.0,0.003471984974334766
691.0,0.003400690320617276
701.0,0.0033290094751709546
711.0,0.003256913014475457
721.0,0.0012641496046487952
731.0,0.0012079175500144806
741.0,0.001153283635641369
751.0,0.001100196749451817
761.0,0.001048607644288721
771.0,0.0009984688698372673
781.0,0.0009497347057130625
791.0,0.0009023610959792286
801.0,0.0019314794107255198
811.0,0.0018689988016659604
821.0,0.0018060706027946468
831.0,0.0017426657607403293
841.0,0.0016787541473570963
851.0,0.001614304484421628
861.0,0.00154928426305658
871.0,0.0005713313186347439
881.0,0.0005458273500720967
891.0,0.0005200748825569475
901.0,0.0004940586739362682
911.0,0.00046776286120301194
921.0,0.0004411709121679692
931.0,0.0004142655735596954
941.0,8.318216241024593e-05
951.0,7.43792619609944e-05
961.0,6.636568163690966e-05
971.0,5.922847142016821e-05
981.0,5.287092301287171e-05
